,Life expectancy at birth,,Women who were first married by age 18,Account at a financial institution,,Wage and salary workers,Wage and salaried workers,Female part-time employment,Firms with female participation in ownership,"Female legislators, senior officials, and managers",Women in parliaments,Nondiscrimination clause mentions gender in the constitution
,Male,Female,,Male,Female,Male,Female,,,,,
,years,years,% of women ages 20-24,% age 15+,% age 15+,% of male employment,% of females employment,% of total,% of firms,% of total,% of total seats,1=yes; 0=no
,2014,2014,2009-2015,2014,2014,2010-2014,2010-2014,2010-2014,2009-2015,2008-2014,2016,2015
Afghanistan,59.2,61.6,32.8,15.8,3.8,..,..,..,2.2,..,28,0
Albania,75.4,80.4,9.6,42.5,33.6,42.9,36.9,..,12.5,22,23,1
Algeria,72.5,77.2,2.5,60.9,40.1,69.6,77.4,..,..,11,32,1
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,32,..
Angola,50.8,53.8,..,36.1,22.3,..,..,..,56.6,..,37,1
Antigua and Barbuda,73.5,78.5,..,..,..,..,..,..,21.3,..,11,1
Argentina,72.4,80.1,..,49.5,50.9,71.2,81.1,63,38,..,36,..
Armenia,70.9,78.6,7.2,20.7,14.3,61.9,52.1,..,25.3,..,11,1
Aruba,73.1,77.9,..,..,..,86,92.5,..,..,43,..,..
Australia,80.3,84.3,..,98.7,99,87.8,91.9,70,..,..,29,..
Austria,78.8,84,..,96.1,97.4,84.2,89.5,79,..,27,31,..
Azerbaijan,67.7,74,11,32.6,25.9,37.5,29.2,..,4.5,..,17,..
"Bahamas, The",72.3,78.3,..,..,..,80.5,90.3,..,58.3,52,13,0
Bahrain,75.8,77.6,..,90.2,66.7,96.2,99,..,..,..,8,1
Bangladesh,70.4,72.9,58.6,32.9,25.2,26.5,49.2,..,12.7,5,20,1
Barbados,73.2,78,10.7,..,..,78.4,88.2,..,43.5,48,17,0
Belarus,68,78.2,3.2,72,72,..,..,..,43.6,46,35,0
Belgium,78.1,83.2,..,96.7,99.5,82.1,89.1,79,..,30,39,0
Belize,67.4,72.9,25.9,44.1,52.3,..,..,..,30.4,..,3,1
Benin,58.1,61,31.9,19.2,12.9,12.5,4,..,45.4,..,7,..
Bermuda,77.1,84.7,..,..,..,78.2,86.7,..,..,44,..,..
Bhutan,69.2,69.7,25.8,39,27.7,41.2,14.3,76,43.3,17,9,1
Bolivia,65.9,70.9,..,44,37.6,44.7,32.9,..,41.3,35,53,1
Bosnia and Herzegovina,74,79,3.5,58.8,47.1,73.8,75.9,41,27.2,..,21,1
Botswana,62.1,66.8,..,52.7,45.9,70.6,65.2,..,55.3,39,10,1
Brazil,70.7,78.3,..,71.7,64.8,65.5,73,64,50.2,37,10,1
Brunei Darussalam,77,80.7,..,..,..,..,..,..,..,34,7,..
Bulgaria,71.7,79.3,..,62.8,63.2,84.7,90.7,54,39,37,20,..
Burkina Faso,57.3,59.9,51.6,15.1,11.8,..,..,..,19.2,..,9,1
Burundi,54.8,58.7,20.4,7.3,6.5,..,..,..,44,..,36,1
Cabo Verde,71.4,75,..,..,..,..,..,..,33.1,..,24,1
Cambodia,66.2,70.3,18.5,14.9,10.7,41.2,30.3,..,..,..,20,1
Cameroon,54.4,56.7,38.4,13.8,8.9,28.6,11.2,..,15.7,..,31,..
Canada,80,84,..,99,99.2,90.6,92,67,..,36,26,1
Cayman Islands,..,..,..,..,..,88,95,..,..,..,..,..
Central African Republic,48.8,52.6,67.9,..,..,..,..,..,53.3,..,7,..
Chad,50.5,52.7,66.9,11.7,4,..,..,..,40.1,..,15,1
Channel Islands,78.7,82.6,..,..,..,..,..,..,..,..,..,..
Chile,78.6,84.5,..,67.8,59.1,72.7,62.2,60,29.6,..,16,..
China,74.3,77.3,..,81.4,76.4,..,..,..,64.2,..,24,..
"Hong Kong SAR, China",81.2,86.9,..,96,96.3,85.6,94.4,56,..,32,..,..
"Macao SAR, China",78.4,82.8,..,..,..,90.5,96.1,..,..,32,..,..
Colombia,70.5,77.7,23,43.5,33.6,47.1,47.9,68,35.3,53,20,1
Comoros,61.6,65,31.6,..,..,..,..,..,..,..,3,..
"Congo, Dem. Rep.",57.2,60.1,37.3,13.3,8.5,..,..,..,15.1,..,9,1
"Congo, Rep.",60.8,63.9,32.6,19.2,14.2,..,..,..,31.8,..,7,1
Costa Rica,77,81.9,21.2,69.2,60.2,73.7,78.3,61,43.5,35,33,0
Cote d'Ivoire,50.7,52.4,33.2,18.1,12,25.2,8.6,..,61.9,..,9,..
Croatia,74.5,80.3,..,84.2,87.7,81.6,87.6,57,32.1,25,13,..
Cuba,77.4,81.5,26,..,..,70.3,89,..,..,..,49,..
Curacao,74.8,81,..,..,..,..,..,..,..,..,..,..
Cyprus,78,82.4,..,90,90.3,76.9,87.6,60,..,14,18,1
Czech Republic,75.3,81.4,..,85.2,79.4,78.1,87.2,71,30.8,26,20,..
Denmark,78.5,82.7,..,100,100,88.1,94.5,61,..,28,37,..
